Chapter,Total Chapter Size,New Member Class Size,Total Chapter GPA,New Member GPA,Total Service Hours,Average Hours Per Member,Charitable Donations,Annual Report Score,Star Ranking,Chapter Type,Semester,simulated_dates
Theta Tau,50,,3.205,3.145,81,1.6,457,88,3,Professional Fraternity Council,F16,9/1/2016
Phi Sigma Kappa,29,,3.152,2.655,337,11.6,221,86,3,Interfraternity Council,F16,9/1/2016
Pi Kappa Alpha,77,,3.007,2.615,11,0.1,0,76,2,Interfraternity Council,F16,9/1/2016
Pi Kappa Phi,38,,3.104,2.898,0,0,0,65,0,Interfraternity Council,F16,9/1/2016
Pi Lambda Phi,33,,3.095,2.854,688,20.8,0,,,Interfraternity Council,F16,9/1/2016
Sigma Alpha Epsilon,48,,3.099,2.981,310,6.5,1026,76,2,Interfraternity Council,F16,9/1/2016
Sigma Alpha Mu,25,,3.131,3.247,117,4.7,0,48,0,Interfraternity Council,F16,9/1/2016
Sigma Beta Rho,15,,2.545,,101,6.7,0,60,0,Interfraternity Council,F16,9/1/2016
Sigma Chi,109,,3.063,2.711,0,0,74012,87,3,Interfraternity Council,F16,9/1/2016
Sigma Phi Delta,18,,3.115,3.296,136,7.6,0,67,0,Interfraternity Council,F16,9/1/2016
Sigma Pi,65,,3.023,2.753,102,1.6,0,58,0,Interfraternity Council,F16,9/1/2016
Tau Epsilon Phi,15,,3.092,2.703,0,0,0,67,,Interfraternity Council,F16,9/1/2016
Tau Kappa Epsilon,55,,3.158,2.364,0,0,0,74,2,Interfraternity Council,F16,9/1/2016
Theta Chi,82,,3.328,3.276,936,11.4,0,80,3,Interfraternity Council,F16,9/1/2016
Theta Delta Chi,86,,3.124,2.765,493,5.7,15914,77,2,Interfraternity Council,F16,9/1/2016
Zeta Beta Tau,47,,3.32,3.137,0,0,0,83,3,Interfraternity Council,F16,9/1/2016
alpha Kappa Delta Phi,18,,3.144,2.757,175,9.7,2388,59,0,Multicultural Greek Council,F16,9/1/2016
Alpha Phi Alpha,16,,2.842,2.675,128,8,0,48,0,Multicultural Greek Council,F16,9/1/2016
Phi Mu Delta,26,,3.362,3.36,265,10.2,0,77,2,Interfraternity Council,F16,9/1/2016
Chi Upsilon Sigma,11,,2.855,2.677,171,15.5,155,86,3,Multicultural Greek Council,F16,9/1/2016
Phi Kappa Tau,42,,3.103,2.889,487,11.6,0,83,3,Interfraternity Council,F16,9/1/2016
Phi Kappa Psi,63,,3.159,2.765,652,10.3,1500,74,2,Interfraternity Council,F16,9/1/2016
Alpha Delta Phi,27,,2.963,2.423,606,22.4,0,72,2,Interfraternity Council,F16,9/1/2016
Alpha Epsilon Pi,58,,3.376,3.648,112,1.9,50,68,0,Interfraternity Council,F16,9/1/2016
